Points:0;Points:1;Points:2;Young Modulus
-45;-15;40;414448
-40;-10;35;529045
-45;-10;40;526132
-40;-10;40;362887
-45;-10;45;305014
-45;-5;45;503212
-45;-5;50;290859
-40;-5;45;305014
-45;-30;10;317906
-45;-25;10;357295
-45;-25;15;487953
-40;-25;10;441022
-40;-15;5;267699
-40;-10;10;263589
-45;-15;10;232499
-40;-15;10;282408
-45;-5;40;489653
-40;-5;40;526132
-40;-5;35;529514
-40;-15;15;384778
-45;-20;15;561071
-40;-20;10;398202
-40;-25;5;313076
-40;-25;50;374052
-40;-25;45;390759
-40;-20;50;329587
-35;-20;45;334709
-40;-10;15;339667
-45;-15;15;432200
-40;-75;55;411426
-35;-70;55;385831
-40;-75;60;265250
-35;-75;55;432789
-40;-20;15;514689
-35;-5;40;414448
-35;-5;35;548338
-30;-5;35;541384
-35;-10;40;435801
-30;-5;40;517903
-45;-30;35;378043
-40;-25;35;469057
-45;-30;40;478233
-40;-30;35;432226
-45;-10;10;307931
-45;-5;10;514185
-45;-5;15;407987
-40;-5;10;307931
-45;-25;50;366239
-45;-25;45;434337
-45;-20;50;409272
-40;-20;45;437814
-45;-10;20;427950
-45;-5;20;465123
-45;-5;25;386711
-40;-5;20;427950
-45;-10;35;529514
-45;-5;35;486625
-45;-10;25;464736
-45;-5;30;428188
-40;-5;25;464736
-45;-10;30;527676
-40;-5;30;527676
-35;-5;45;389051
-35;-25;50;355080
-35;-25;45;327603
-35;-20;50;309947
-30;-20;45;297715
-45;-20;30;532952
-40;-15;25;543360
-45;-15;30;562944
-40;-15;30;543198
-45;-10;15;395592
-40;-5;15;395592
-45;-20;25;562587
-45;-15;25;563433
-40;-30;60;447480
-40;-25;65;206354
-45;-30;65;348384
-40;-30;65;317585
-30;-30;75;609253
-30;-25;80;519776
-35;-30;80;336654
-30;-30;80;482460
-30;-70;55;451514
-35;-75;60;381043
-30;-75;55;514127
-45;-25;20;538674
-45;-20;20;596549
-40;-20;20;573733
-35;-15;10;380420
-35;-15;15;427747
-45;-15;20;559526
-45;-25;25;474810
-40;-20;25;524600
-40;-10;25;503104
-40;-10;20;466059
-40;-15;20;491224
-40;-85;15;532113
-40;-80;20;371799
-45;-85;20;499025
-40;-85;20;484190
-40;-35;30;302329
-35;-30;30;455627
-40;-35;35;384372
-35;-35;30;333439
-30;-25;50;407885
-30;-25;45;240120
-30;-20;50;319347
-25;-20;45;240120
-40;-30;5;281622
-40;-30;10;247547
-45;-20;10;379459
-45;-80;65;185295
-45;-75;65;235424
-45;-75;70;194937
-40;-75;65;242926
-35;-5;15;432200
-35;-5;20;559526
-45;-30;25;318612
-45;-30;20;359631
-40;-25;20;534427
-40;-10;30;520976
-40;-10;45;374229
-45;-20;5;256349
-40;-20;5;409578
-45;-30;60;449616
-45;-30;55;498577
-45;-25;60;369513
-40;-25;55;410669
-45;-30;30;370141
-45;-25;35;522448
-40;-25;30;505242
-45;-25;40;499606
-45;-25;30;505778
-45;-10;50;306279
-40;-25;40;459841
-35;-20;40;464116
-40;-5;50;306279
-40;-30;15;358231
-35;-25;10;418657
-40;-25;15;514613
-35;-25;15;453577
-35;-15;20;513851
-35;-15;25;506865
-45;-20;35;541384
-45;-15;35;548338
-40;-15;35;484045
-45;-20;40;517903
-40;-15;40;435801
-45;-20;45;410571
-45;-15;45;389051
-40;-15;45;392776
-45;-30;45;451088
-40;-30;40;443011
-40;-10;50;237910
-45;-15;50;290336
-40;-15;50;337022
-45;-75;45;514452
-45;-70;45;160044
-45;-70;50;343164
-40;-70;45;238354
-45;-80;25;245621
-45;-75;25;230088
-45;-75;30;213015
-40;-75;25;222631
-45;-35;20;126630
-40;-30;20;463297
-45;-30;50;391197
-40;-30;45;442843
-45;-40;55;185606
-40;-35;50;481135
-45;-35;55;487364
-40;-35;55;476299
-40;-30;55;487490
-45;-35;60;220839
-45;-25;55;422346
-45;-20;55;352288
-40;-30;50;419363
-35;-25;55;442091
-35;-20;55;381945
-45;-5;55;399131
-45;-30;15;246680
-40;-20;30;536781
-40;-20;35;513953
-45;-15;55;235233
-40;-20;40;492244
-45;-20;60;206803
-45;-15;60;235908
-40;-15;55;322888
-45;-35;50;470865
-40;-20;55;355541
-45;-75;40;403159
-45;-70;40;184081
-40;-70;40;169396
-40;-35;20;252175
-40;-30;25;398627
-45;-35;25;131095
-40;-35;25;205927
-40;-25;25;506967
-35;-20;20;530255
-35;-10;15;384778
-25;-5;35;522448
-30;-10;40;492244
-25;-5;40;499606
-45;-35;45;484593
-40;-35;45;477635
-40;-25;60;381456
-45;-35;40;523647
-40;-35;40;449958
-35;-25;40;359839
-30;-20;40;350260
-35;-15;5;300006
-35;-10;35;484045
-35;-10;30;543198
-35;-15;30;519513
-35;-10;45;392776
-40;-30;70;276150
-35;-25;65;382119
-40;-25;70;189864
-35;-25;70;413191
-40;-20;65;158010
-45;-25;65;240935
-30;-10;45;437814
-25;-10;40;459841
-40;-15;60;223922
-45;-35;35;354210
-45;-35;30;210825
-40;-30;30;379620
-40;-20;60;287054
-35;-15;50;315140
-35;-10;55;322888
-35;-15;55;392274
-35;-15;35;492443
-35;-15;40;474460
-35;-70;60;388533
-35;-75;40;344667
-30;-70;35;192907
-35;-70;40;173193
-30;-70;40;160317
-35;-10;60;223922
-35;-15;60;368697
-45;-40;40;201812
-45;-40;35;242997
-45;-75;50;391051
-40;-70;50;210956
-45;-75;55;287060
-40;-75;50;395914
-30;-20;70;449684
-25;-15;70;413191
-30;-20;75;571651
-25;-20;70;587133
-35;-25;30;503027
-35;-15;45;432184
-35;-10;50;337022
-40;-40;45;300029
-35;-35;45;370771
-40;-40;50;244193
-35;-40;45;258688
-20;-5;35;378043
-20;-5;40;478233
-35;-30;40;331061
-40;-40;40;244974
-35;-35;40;325934
-35;-40;40;261840
-35;-20;60;421700
-40;-85;30;431320
-40;-80;35;427614
-45;-85;35;425628
-40;-85;35;421575
-35;-70;65;360235
-40;-75;70;130560
-35;-75;65;287377
-40;-40;30;137067
-40;-40;35;172213
-35;-10;20;491224
-45;-40;45;336130
-45;-40;50;437354
-35;-20;15;512959
-40;-40;55;309523
-35;-25;20;493179
-35;-30;15;372283
-35;-30;20;419284
-35;-35;15;204812
-30;-25;55;461355
-30;-20;55;445587
-25;-20;50;407885
-40;-75;40;368415
-40;-75;45;375205
-35;-10;10;282408
-35;-20;25;486720
-35;-20;30;522037
-35;-20;35;526515
-35;-35;50;444255
-35;-40;50;295049
-35;-80;40;403256
-40;-85;40;490218
-35;-80;35;491038
-35;-85;35;465350
-35;-30;55;469117
-45;-90;20;476422
-45;-90;15;538020
-35;-20;10;413516
-35;-25;5;513365
-35;-5;30;562944
-35;-5;25;563433
-35;-10;25;543360
-30;-5;5;256349
-35;-5;10;232499
-30;-5;10;379459
-30;-5;15;561071
-35;-30;25;344185
-35;-35;25;258408
-35;-25;60;402055
-35;-30;60;452866
-35;-30;35;439900
-35;-35;35;316035
-30;-25;40;300782
-25;-20;40;300782
-35;-30;10;319687
-35;-10;5;267699
-25;-10;30;505242
-25;-5;30;505778
-20;-5;30;370141
-25;-5;5;431520
-30;-10;10;398202
-25;-5;10;357295
-35;-20;5;257551
-30;-15;5;257551
-30;-75;80;346701
-25;-70;80;465970
-30;-75;85;343110
-25;-75;80;474507
-30;-10;35;513953
-30;-10;30;536781
-30;-15;30;522037
-30;-5;45;410571
-20;-35;35;131237
-20;-30;40;190494
-25;-35;40;171834
-20;-35;40;154706
-45;-25;5;431520
-35;-25;35;483458
-35;-25;25;442623
-30;-15;55;381945
-30;-10;60;287054
-30;-15;60;421700
-40;-35;60;323689
-35;-35;55;450976
-40;-75;30;293197
-35;-70;30;224245
-40;-75;35;409975
-35;-75;30;395867
-25;-30;75;572550
-25;-25;80;566531
-25;-30;80;481070
-35;-30;50;418089
-30;-10;15;514689
-25;-70;55;464090
-30;-75;60;371911
-25;-75;55;521458
-40;-85;50;252392
-40;-80;55;436179
-45;-85;55;350517
-40;-85;55;343363
-40;-80;25;348871
-45;-80;30;288832
-40;-80;30;385251
-30;-20;20;487891
-35;-30;5;417356
-35;-5;55;235233
-30;-5;50;409272
-45;-85;25;352076
-25;-5;45;434337
-30;-75;45;267740
-25;-70;40;131270
-30;-70;45;351032
-25;-70;45;422214
-30;-25;75;590950
-30;-20;80;349906
-35;-25;80;197504
-30;-5;20;596549
-35;-70;45;277705
-35;-75;45;268908
-35;-70;50;368018
-35;-75;50;341337
-30;-10;5;409578
-45;-80;60;208574
-45;-75;60;250818
-45;-45;45;153791
-35;-5;50;290336
-35;-80;65;246423
-35;-75;70;320625
-30;-75;65;309323
-40;-70;35;168157
-40;-70;55;213988
-40;-70;60;148817
-40;-70;65;106882
-35;-30;45;317841
-35;-30;85;198611
-45;-75;35;347651
-30;-40;75;421471
-25;-35;75;502821
-30;-40;80;331339
-25;-40;75;351632
-40;-70;30;124959
-45;-80;35;440881
-35;-40;30;112313
-35;-40;35;102189
-25;-10;35;469057
-45;-80;40;416393
-45;-80;45;510010
-45;-80;50;347823
-45;-80;55;342540
-30;-25;10;294959
-30;-25;15;402474
-35;-70;35;209942
-35;-75;35;332350
-25;-20;5;242184
-25;-15;5;513365
-25;-15;10;418657
-20;-15;5;417356
-35;-30;65;424694
-35;-30;70;497477
-30;-25;70;587133
-35;-30;75;485600
-30;-30;70;581449
-40;-85;45;405493
-40;-80;50;297626
-45;-85;50;291502
-40;-35;65;305789
-40;-35;70;216822
-40;-40;60;197244
-35;-40;55;348525
-30;-10;50;329587
-45;-90;10;526826
-45;-90;5;299699
-45;-85;10;408433
-40;-85;5;398418
-35;-70;25;132880
-35;-75;25;257011
-40;-80;40;460913
-45;-85;40;470062
-40;-70;70;142922
-35;-70;70;341480
-40;-30;75;195840
-40;-80;45;398624
-45;-85;45;526083
-40;-85;25;391177
-45;-85;30;399766
-40;-90;45;375060
-45;-95;45;229740
-40;-90;40;439490
-40;-95;40;332199
-40;-90;50;200332
-45;-95;50;106470
-40;-95;45;204654
-40;-80;60;298720
-30;-70;65;388391
-30;-70;70;426699
-35;-20;70;266911
-45;-85;15;619340
-45;-80;15;324969
-40;-80;10;318101
-40;-90;5;442731
-40;-80;15;413861
-40;-75;20;221346
-40;-80;65;149078
-45;-95;5;323267
-45;-95;20;490436
-45;-95;15;378107
-40;-90;15;546476
-45;-80;20;342272
-40;-90;10;458476
-40;-95;10;367358
-35;-20;65;280132
-20;-10;35;432226
-15;-5;30;210825
-15;-5;35;354210
-40;-85;10;569600
-45;-90;25;450396
-45;-95;40;417667
-40;-90;35;380828
-40;-95;35;375804
-25;-30;70;559015
-25;-25;70;577234
-25;-25;75;608444
-20;-25;70;559015
-45;-90;30;465411
-45;-90;35;454924
-35;-85;40;414622
-45;-90;40;501655
-30;-35;80;430679
-35;-40;80;192102
-45;-90;45;328358
-45;-90;50;186555
-45;-90;55;280362
-35;-35;60;416739
-40;-40;65;143523
-35;-35;65;378804
-40;-40;70;111309
-35;-35;70;525229
-30;-30;25;317168
-30;-35;25;189506
-30;-80;40;333185
-30;-80;35;452692
-30;-85;35;462842
-40;-95;15;404541
-45;-100;15;280613
-40;-100;10;257246
-40;-95;25;428770
-45;-100;25;325347
-40;-95;20;433917
-40;-100;20;437565
-40;-95;30;503458
-45;-100;30;400036
-40;-100;25;457966
-45;-100;35;293550
-40;-100;30;496818
-40;-90;30;474900
-45;-95;30;494212
-40;-90;25;410850
-45;-100;40;257279
-40;-100;35;354718
-45;-100;45;253389
-40;-100;40;299215
-30;-65;90;467807
-25;-60;85;568647
-30;-60;90;571936
-25;-60;90;745066
-45;-95;10;312198
-45;-95;35;400971
-45;-95;25;494704
-40;-90;20;483280
-35;-40;90;278423
-30;-35;85;389293
-35;-35;90;256266
-30;-35;90;404704
-35;-75;80;257109
-35;-75;75;266795
-35;-70;80;283569
-30;-70;75;404122
-30;-20;5;430009
-30;-15;10;413516
-30;-30;35;365106
-30;-35;35;244202
-45;-100;20;414822
-40;-100;15;296964
-35;-40;85;182502
-35;-35;85;199342
-30;-25;65;447698
-30;-30;65;434350
-20;-35;45;256987
-20;-30;50;454019
-25;-35;50;426026
-20;-35;50;371169
-30;-70;60;371483
-40;-95;5;200157
-40;-90;55;227012
-25;-5;15;487953
-30;-10;20;573733
-25;-10;15;514613
-35;-40;75;338406
-30;-35;75;530846
-30;-30;50;445714
-40;-95;50;110987
-20;-20;55;455076
-20;-20;50;445714
-20;-15;55;469117
-15;-15;50;444255
-30;-100;5;442731
-30;-100;10;458476
-35;-105;10;312198
-30;-105;5;299699
-45;-105;30;401233
-45;-105;25;83389
-45;-105;35;64696
-45;-105;40;369774
-15;-10;55;476299
-15;-15;55;450976
-30;-30;10;244112
-40;-105;20;414822
-40;-105;25;325347
-35;-80;25;364158
-40;-105;30;400036
-40;-105;35;293550
-40;-105;40;257279
-30;-30;45;268715
-30;-30;55;455076
-30;-30;60;425139
-35;-35;75;464450
-35;-35;20;268287
-30;-15;20;530255
-30;-10;25;524600
-25;-10;25;506967
-25;-5;25;474810
-20;-5;25;318612
-30;-15;15;512959
-30;-25;25;370956
-30;-25;35;424541
-25;-15;55;442091
-25;-10;60;381456
-25;-15;60;402055
-30;-20;60;452332
-25;-10;10;441022
-20;-5;10;317906
-30;-5;25;562587
-35;-5;60;235908
-30;-5;55;352288
-30;-5;30;532952
-35;-45;90;171164
-35;-45;85;195448
-30;-40;85;404875
-30;-70;30;191944
-30;-75;30;320676
-30;-5;60;206803
-35;-15;65;144534
-30;-75;75;433713
-35;-25;75;302543
-30;-10;55;355541
-35;-35;80;215872
-20;-25;80;481070
-20;-25;75;572550
-20;-20;80;482460
-15;-20;75;530846
-30;-45;95;534152
-35;-50;95;212187
-30;-45;90;460468
-30;-50;90;572618
-35;-40;95;336371
-30;-40;90;405468
-30;-25;30;486001
-30;-25;20;420455
-30;-20;25;463576
-25;-20;20;420455
-25;-5;50;366239
-30;-75;70;384424
-35;-40;65;344288
-35;-40;70;489199
-30;-35;70;580894
-30;-15;25;486720
-30;-35;55;442315
-20;-10;40;443011
-15;-5;40;523647
-30;-15;35;526515
-35;-40;60;340864
-30;-15;40;464116
-30;-10;65;158010
-30;-15;65;280132
-30;-30;40;256667
-25;-15;65;382119
-25;-10;70;189864
-30;-15;70;266911
-20;-25;55;428067
-20;-20;60;425139
-25;-25;60;423903
-20;-25;60;371016
-30;-30;85;378756
-30;-25;60;431348
-25;-5;20;538674
-30;-55;90;701182
-30;-55;85;604694
-25;-50;85;492211
-25;-10;5;313076
-30;-20;15;472093
-30;-30;15;317960
-30;-15;45;334709
-30;-15;50;309947
-30;-40;100;307603
-25;-35;95;466165
-30;-35;100;304798
-25;-35;100;582033
-25;-10;50;374052
-30;-75;40;287806
-30;-80;65;248881
-25;-75;65;350178
-30;-50;95;768947
-35;-55;95;259958
-30;-20;30;512025
-30;-20;35;495614
-30;-35;50;427405
-30;-40;50;408446
-35;-45;75;239194
-35;-45;80;196967
-30;-45;75;265346
-35;-80;30;428566
-35;-85;15;467870
-35;-80;20;379501
-35;-85;20;425470
-30;-20;65;398108
-30;-25;85;321207
-30;-20;10;414882
-30;-25;5;242184
-30;-35;30;313977
-30;-40;30;85058
-30;-40;35;104569
-30;-35;40;247052
-30;-40;40;189284
-30;-35;45;320065
-30;-40;45;314930
-25;-70;35;128161
-35;-85;30;435526
-30;-75;35;286968
-30;-70;50;481109
-30;-75;50;458335
-20;-10;30;379620
-15;-5;25;131095
-15;-5;55;487364
-15;-5;60;220839
-20;-10;60;447480
-30;-30;30;431010
-30;-70;80;447702
-25;-70;75;370271
-35;-85;50;254984
-35;-80;55;470158
-35;-85;55;412056
-35;-80;45;240698
-25;-15;30;503027
-25;-25;10;173774
-25;-25;15;250395
-35;-85;45;310506
-35;-80;50;314191
-30;-30;90;461961
-25;-30;85;467866
-20;-10;45;442843
-20;-5;45;451088
-35;-75;15;228064
-35;-75;20;298763
-25;-20;80;519776
-25;-70;65;334674
-25;-70;70;404026
-30;-40;105;684292
-30;-45;100;498056
-25;-40;100;773433
-35;-90;45;366487
-35;-90;40;473743
-35;-95;40;422516
-35;-90;50;184912
-35;-95;45;298947
-35;-85;25;373623
-35;-85;5;479317
-30;-45;80;333106
-30;-85;65;237905
-30;-80;70;298990
-35;-85;70;140640
-30;-85;70;255714
-35;-50;75;136392
-35;-50;80;171799
-30;-50;75;213455
-35;-80;60;395493
-40;-80;70;112268
-25;-10;45;390759
-30;-40;55;407846
-20;-5;55;498577
-25;-10;55;410669
-20;-5;50;391197
-20;-10;50;419363
-35;-80;10;361527
-35;-85;60;367965
-40;-85;65;87053
-35;-85;65;187564
-40;-85;60;234358
-35;-90;5;300152
-35;-80;15;336944
-35;-80;70;209734
-35;-90;15;502143
-35;-90;10;464676
-35;-95;10;300058
-35;-65;55;123302
-35;-65;60;154219
-35;-65;65;197017
-25;-10;20;534427
-20;-5;15;246680
-35;-70;75;323675
-35;-65;75;133509
-30;-65;70;305041
-25;-30;30;453388
-25;-35;30;235540
-35;-45;55;111654
-35;-45;60;136122
-30;-45;55;231951
-25;-15;50;355080
-25;-15;45;327603
-35;-45;95;276468
-35;-85;10;461833
-30;-50;80;428771
-35;-90;35;408704
-35;-95;35;356315
-30;-85;40;387381
-25;-35;80;407382
-25;-40;80;314933
-30;-35;60;384491
-30;-35;65;424991
-35;-65;70;180342
-20;-10;55;487490
-25;-80;40;280474
-25;-80;35;451290
-25;-85;35;439751
-40;-100;5;145387
-35;-95;5;300022
-35;-95;15;441478
-35;-100;10;367358
-35;-95;25;399735
-35;-95;20;421951
-35;-100;20;433917
-35;-95;30;488429
-35;-100;25;428770
-35;-100;30;503458
-35;-90;30;448956
-35;-90;25;419252
-35;-100;35;375804
-30;-65;60;263669
-30;-55;95;906350
-30;-45;85;455082
-25;-30;90;438394
-20;-25;90;438394
-25;-30;95;413397
-20;-30;90;520787
-35;-90;20;474125
-30;-65;65;280698
-30;-40;95;448011
-30;-65;75;230568
-25;-25;85;415329
-35;-65;80;171176
-30;-65;80;344474
-35;-50;85;195236
-25;-35;85;433036
-25;-35;90;468285
-35;-70;85;240262
-35;-60;95;154393
-30;-60;95;672236
-25;-30;40;207103
-35;-100;15;404541
-30;-40;60;340278
-35;-100;5;200157
-35;-45;65;239387
-30;-40;65;430673
-35;-45;70;275885
-30;-40;70;536222
-30;-65;55;173386
-30;-50;85;554478
-30;-75;25;296989
-30;-80;75;357135
-35;-85;75;124862
-30;-85;75;195421
-20;-25;65;399947
-15;-20;60;384491
-20;-20;65;434350
-15;-20;65;424991
-25;-70;60;344380
-25;-75;60;371705
-25;-20;55;461355
-30;-45;70;421532
-35;-90;55;285488
-30;-45;105;737721
-35;-50;105;316496
-30;-50;100;711639
-30;-50;105;995907
-35;-55;105;332395
-30;-55;100;881932
-25;-25;50;433191
-25;-30;50;466189
-25;-20;60;431348
-20;-15;60;452866
-25;-20;75;590950
-20;-5;65;348384
-25;-10;65;206354
-20;-10;65;317585
-15;-10;45;477635
-15;-10;40;449958
-15;-5;45;484593
-10;-5;40;201812
-35;-95;50;120991
-30;-65;50;178363
-25;-15;75;302543
-40;-105;15;280613
-35;-100;40;332199
-35;-105;5;323267
-30;-35;95;409311
-35;-105;15;378107
-35;-105;20;490436
-35;-105;25;494704
-30;-80;25;348718
-35;-105;30;494212
-25;-55;80;351853
-25;-55;85;592067
-35;-105;35;400971
-40;-105;45;253389
-35;-105;40;417667
-35;-100;45;204654
-25;-30;45;332430
-35;-105;45;229740
-25;-30;55;428067
-25;-30;60;371016
-25;-30;65;399947
-25;-30;15;205733
-25;-25;20;364027
-20;-25;15;205733
-25;-25;105;382045
-25;-30;100;355486
-25;-25;100;281853
-20;-25;100;355486
-35;-55;100;251124
-30;-30;20;350996
-30;-35;20;164368
-25;-15;20;493179
-20;-10;25;398627
-30;-45;50;171132
-25;-40;50;375169
-25;-45;50;177051
-25;-15;15;453577
-25;-25;25;306551
-25;-30;25;262798
-25;-25;35;382414
-25;-30;35;328035
-30;-60;105;1045693
-30;-60;100;611181
-30;-55;105;1024871
-25;-55;100;996514
-25;-5;55;422346
-25;-15;40;359839
-25;-40;85;418291
-25;-70;30;149416
-25;-75;30;359444
-25;-5;60;369513
-25;-55;95;899887
-25;-75;75;426066
-25;-45;95;776274
-25;-45;90;580958
-25;-50;90;706718
-30;-35;105;533596
-25;-25;30;464244
-20;-25;25;262798
-25;-75;70;411431
-25;-35;70;547643
-30;-80;5;387760
-30;-80;10;204429
-25;-15;25;442623
-25;-35;55;352549
-25;-45;100;930802
-10;-5;35;242997
-25;-15;35;483458
-25;-25;40;248562
-30;-45;65;357889
-15;-25;80;407382
-20;-30;80;440856
-15;-25;75;502821
-15;-30;75;457169
-30;-60;75;138281
-20;-35;75;457169
-20;-35;80;364276
-30;-30;95;257265
-25;-25;55;453487
-20;-5;20;359631
-20;-10;20;463297
-20;-10;15;358231
-20;-15;15;372283
-25;-75;45;374930
-25;-20;15;402474
-30;-45;60;245785
-30;-80;45;225197
-25;-75;35;307461
-30;-60;80;375069
-35;-65;85;227486
-25;-75;40;265794
-25;-50;95;926118
-25;-55;90;834443
-25;-20;25;370956
-25;-20;30;486001
-25;-20;35;424541
-25;-45;75;171893
-15;-35;85;468961
-15;-30;90;543021
-20;-35;90;543021
-15;-35;90;614297
-20;-15;10;319687
-20;-20;10;244112
-30;-80;30;412028
-30;-85;45;206412
-25;-20;65;447698
-25;-40;105;1378964
-20;-40;100;1208378
-30;-60;65;93139
-25;-20;10;294959
-25;-35;35;168184
-25;-40;35;64097
-25;-40;40;155657
-20;-15;30;455627
-20;-15;25;344185
-20;-20;25;317168
-25;-35;45;286358
-25;-40;45;272113
-25;-25;45;285632
-30;-50;70;165991
-20;-30;35;255130
-30;-60;70;148647
-30;-45;45;124468
-25;-45;45;162256
-25;-70;50;506072
-25;-75;50;513348
-15;-30;45;256987
-10;-25;40;155657
-10;-20;45;314930
-15;-25;45;286358
-10;-25;45;272113
-35;-80;75;247459
-25;-40;90;512488
-25;-25;65;437825
-30;-75;15;200876
-30;-75;20;209882
-30;-85;30;453261
-30;-85;50;329347
-30;-80;55;507950
-30;-85;55;470289
-30;-85;15;366338
-30;-80;20;399431
-30;-85;20;371305
-20;-20;15;317960
-30;-80;50;382672
-30;-60;85;536889
-30;-65;85;446912
-25;-35;25;190440
-30;-90;45;297774
-30;-90;40;410196
-30;-95;40;473743
-30;-90;50;248428
-30;-95;45;366487
-30;-90;55;432488
-35;-95;55;155985
-30;-95;50;184912
-30;-85;25;397972
-30;-85;5;323075
-30;-90;60;397536
-35;-95;60;213863
-30;-95;55;285488
-25;-45;80;290520
-30;-90;65;188719
-35;-95;65;163946
-30;-95;60;355936
-25;-85;65;276786
-25;-80;70;313898
-25;-85;70;283806
-30;-70;90;383565
-30;-65;95;642250
-25;-65;90;690888
-25;-50;75;143136
-30;-80;60;391071
-30;-25;90;169416
-25;-40;55;324296
-35;-80;80;218413
-20;-5;60;449616
-25;-30;105;736791
-30;-85;60;355387
-30;-90;5;425843
-30;-80;15;325096
-30;-80;80;350813
-30;-90;15;464160
-30;-65;45;125595
-30;-90;10;352247
-30;-95;10;464676
-25;-65;85;537534
-25;-60;80;368778
-20;-65;80;438827
-20;-60;80;383198
-20;-60;85;565603
-15;-60;80;357463
-25;-65;70;312017
-25;-45;55;272653
-20;-25;105;736791
-20;-30;100;750002
-20;-15;50;418089
-20;-15;45;317841
-20;-50;95;1028065
-25;-50;100;1143378
-20;-50;100;1293935
-25;-20;85;321207
-30;-85;10;283453
-25;-50;80;340706
-30;-90;35;464403
-30;-95;35;408704
-25;-60;95;816261
-25;-85;40;328425
-35;-90;60;355936
-25;-35;60;330152
-35;-90;65;160635
-25;-35;65;379574
-35;-90;70;111490
-20;-25;20;248782
-15;-20;20;164368
-30;-70;85;473901
-15;-80;85;630856
-15;-75;90;788485
-20;-80;90;623908
-15;-80;90;716489
-25;-35;105;886820
-30;-70;95;522886
-25;-70;90;655302
-20;-25;45;332430
-20;-30;45;289231
-30;-95;5;300152
-30;-95;15;502143
-30;-95;25;419252
-30;-95;20;474125
-30;-100;20;483280
-30;-95;30;448956
-30;-100;25;410850
-30;-100;30;474900
-30;-90;30;452231
-30;-90;25;440597
-30;-100;35;380828
-30;-100;40;439490
-20;-75;100;983812
