Points:0;Points:1;Points:2;Young Modulus
-25;-80;100;404771
-20;-75;95;817340
-20;-80;95;834962
-35;-100;50;110987
-30;-100;45;375060
-25;-80;85;462300
-25;-75;90;577947
-30;-80;90;222578
-25;-80;90;508071
-25;-65;60;204553
-25;-45;85;434230
-30;-90;20;449369
-25;-65;65;286233
-25;-40;95;592048
-25;-65;75;261989
-25;-40;70;509871
-20;-35;70;545606
-20;-40;70;470250
-25;-65;80;396102
-20;-30;75;543443
-25;-25;90;532723
-20;-20;90;461961
-25;-25;95;250365
-20;-15;80;336654
-15;-10;50;481135
-10;-5;50;437354
-10;-10;50;244193
-30;-100;15;546476
-20;-30;65;357433
-30;-45;40;132598
-25;-40;60;335619
-25;-40;65;390271
-25;-65;55;214187
-30;-55;75;155597
-25;-50;70;203269
-30;-55;80;448529
-25;-60;70;160236
-20;-20;75;609253
-25;-75;25;261418
-25;-80;75;367821
-25;-85;75;263811
-20;-35;95;718378
-20;-35;100;998450
-25;-80;80;445420
-30;-85;80;227048
-25;-85;80;377031
-30;-50;65;141288
-25;-45;60;213810
-25;-45;65;342532
-25;-45;70;367851
-25;-45;105;1531901
-30;-90;70;175097
-25;-50;105;1531591
-20;-25;50;466189
-15;-20;50;427405
-25;-55;105;1598066
-25;-60;100;1000533
-20;-25;95;413397
-30;-95;65;160635
-25;-65;50;211930
-20;-90;85;215997
-20;-85;85;462300
-20;-85;90;508071
-15;-85;85;547658
-35;-105;50;106470
-30;-100;50;200332
-10;-40;95;796386
-10;-40;100;1073466
-15;-45;100;1152314
-10;-45;95;675849
-25;-100;5;398418
-10;-10;55;309523
-10;-10;60;197244
-15;-15;60;416739
-10;-15;55;348525
-30;-105;10;526826
-30;-105;15;538020
-30;-105;20;476422
-30;-105;25;450396
-25;-80;25;379850
-30;-105;30;465411
-20;-55;80;306232
-20;-50;85;463445
-20;-55;85;549347
-30;-105;35;454924
-30;-105;40;501655
-30;-105;45;328358
-30;-105;50;186555
-20;-40;50;278291
-20;-40;55;354670
-20;-60;65;122475
-20;-40;65;353031
-20;-35;85;440999
-30;-70;100;359335
-25;-65;95;812795
-30;-65;100;529854
-25;-65;100;879006
-20;-40;95;821038
-15;-35;95;833251
-20;-10;10;247547
-20;-15;40;331061
-20;-15;35;439900
-20;-20;35;365106
-25;-30;20;248782
-20;-15;20;419284
-30;-30;100;323658
-20;-10;5;281622
-25;-20;90;169416
-30;-25;95;198395
-20;-20;40;256667
-20;-30;85;451023
-25;-5;65;240935
-15;-20;25;189506
-20;-20;45;268715
-20;-15;70;497477
-20;-10;75;195840
-20;-15;75;485600
-25;-15;80;197504
-15;-10;60;323689
-20;-20;20;350996
-20;-20;30;431010
-20;-15;65;424694
-20;-10;70;276150
-25;-20;95;198395
-25;-80;5;240590
-25;-80;10;165720
-20;-65;100;1134610
-20;-65;95;902546
-20;-60;100;1323910
-15;-60;95;974437
-20;-35;65;374097
-20;-35;60;286203
-20;-40;60;290675
-20;-30;30;309787
-20;-25;35;328035
-25;-60;75;158856
-15;-25;95;466165
-20;-30;95;483190
-15;-30;95;718378
-20;-25;85;467866
-25;-50;65;162234
-25;-80;45;276320
-20;-30;55;369900
-20;-20;70;581449
-25;-80;30;408496
-25;-85;45;231577
-15;-5;20;126630
-20;-35;30;168836
-15;-30;30;168836
-20;-40;75;324542
-20;-45;75;120980
-20;-45;90;626506
-20;-45;95;892790
-20;-65;65;201797
-20;-25;40;207103
-15;-55;105;1932734
-15;-60;100;1481044
-15;-55;100;1594127
-10;-55;100;1428016
-20;-40;90;598244
-20;-55;95;1037323
-20;-55;100;1355503
-20;-70;40;66549
-20;-70;45;326052
-20;-30;70;545741
-25;-85;30;476219
-25;-85;50;381592
-25;-80;55;553618
-25;-85;55;507758
-15;-10;30;302329
-15;-10;35;384372
-15;-25;25;190440
-15;-20;30;313977
-20;-25;30;453388
-15;-25;30;235540
-25;-85;15;257135
-25;-80;20;312510
-25;-85;20;321635
-15;-10;20;252175
-15;-10;25;205927
-25;-80;50;474979
-20;-35;55;298750
-20;-30;60;318214
-15;-35;65;388937
-30;-75;95;201991
-25;-70;95;696473
-30;-75;90;257260
-25;-70;85;594007
-25;-75;85;547658
-15;-15;45;370771
-15;-25;35;168184
-30;-80;95;180946
-25;-75;95;612747
-15;-15;35;316035
-20;-45;50;134052
-20;-65;60;213049
-20;-50;90;739627
-15;-45;85;386962
-15;-35;50;367310
-25;-90;45;206412
-25;-90;40;387381
-25;-95;40;414622
-25;-90;50;329347
-25;-95;45;310506
-25;-90;55;470289
-25;-95;50;254984
-25;-85;25;369585
-25;-85;5;210569
-25;-90;60;355387
-25;-95;55;412056
-25;-90;65;237905
-25;-95;60;367965
-25;-90;70;255714
-30;-95;70;111490
-25;-95;65;187564
-15;-15;20;268287
-15;-15;30;333439
-25;-80;60;392802
-25;-80;65;332407
-30;-80;85;215997
-25;-70;100;855837
-15;-70;85;678783
-10;-65;80;478181
-15;-65;85;645283
-10;-65;85;663365
-20;-30;105;1468027
-25;-85;60;394113
-25;-90;5;323075
-25;-80;15;205939
-25;-75;20;116764
-20;-15;85;198611
-20;-20;85;378756
-30;-65;105;716478
-25;-90;15;366338
-25;-90;10;283453
-25;-95;10;461833
-20;-65;85;586637
-15;-20;90;404704
-15;-20;85;389293
-15;-25;85;433036
-20;-65;70;281547
-15;-25;70;547643
-15;-30;70;545606
-25;-85;90;282443
-20;-80;85;581589
-15;-60;85;544422
-15;-55;85;465460
-10;-55;80;184572
-15;-35;55;339293
-15;-30;60;286203
-15;-35;60;341974
-25;-60;105;1459164
-20;-40;80;280646
-20;-45;80;202259
-30;-70;105;457523
-25;-85;10;190222
-25;-90;35;462842
-25;-95;35;465350
-15;-5;50;470865
-15;-40;85;454085
-15;-40;90;621022
-20;-75;25;260298
-30;-90;75;118285
-20;-45;55;196741
-20;-45;60;183415
-15;-60;75;207958
-15;-55;80;252066
-10;-55;75;129355
-20;-40;85;450070
-20;-70;75;381301
-20;-75;75;409407
-30;-85;85;162087
-20;-35;105;1802452
-25;-65;105;1493093
-20;-65;90;755555
-20;-70;90;770134
-15;-30;85;440999
-10;-25;80;314933
-10;-25;85;418291
-25;-95;5;479317
-25;-95;15;467870
-25;-100;10;569600
-20;-20;100;323658
-15;-20;95;409311
-25;-95;25;373623
-25;-95;20;425470
-25;-100;20;484190
-25;-95;30;435526
-25;-100;25;391177
-25;-100;30;431320
-25;-90;30;453261
-25;-90;25;397972
-25;-100;35;421575
-25;-100;40;490218
-25;-100;45;405493
-15;-45;70;281898
-15;-40;75;355908
-15;-45;75;166591
-30;-100;55;227012
-25;-100;50;252392
-20;-60;95;1014063
-20;-60;90;717017
-20;-70;65;369359
-20;-75;65;371618
-20;-45;85;419956
-20;-70;60;384942
-20;-55;90;777049
-15;-50;85;344536
-25;-70;105;1518749
-25;-75;5;334821
-25;-90;20;371305
-15;-45;90;571913
-15;-45;95;849157
-20;-45;100;1198416
-15;-55;95;988847
-15;-55;90;534010
-15;-60;90;622164
-20;-65;75;337372
-20;-70;70;350161
-20;-75;70;386100
-15;-75;70;350919
-15;-70;70;344767
-15;-70;75;368309
-10;-70;70;360938
-20;-70;80;506213
-15;-65;65;206155
-10;-20;90;405468
-10;-20;95;448011
-10;-25;90;512488
-25;-85;85;320844
-25;-80;95;559735
-25;-100;15;532113
-10;-15;50;295049
-10;-20;50;408446
-15;-40;60;252837
-10;-35;60;252837
-15;-40;65;388071
-10;-40;60;156385
-15;-75;60;368642
-15;-70;60;379556
-15;-70;65;365481
-10;-70;60;212431
-15;-15;15;204812
-20;-65;55;180623
-20;-40;105;1649408
-20;-50;80;235609
-20;-60;70;147043
-15;-15;25;258408
-15;-70;80;542160
-10;-65;75;247700
-15;-65;80;471116
-20;-45;65;214103
-20;-45;70;167546
-20;-55;105;1912459
-20;-45;105;1758882
-25;-90;75;195421
-20;-50;105;1796414
-15;-40;80;249657
-15;-45;80;169138
-20;-85;70;313898
-20;-80;75;443823
-20;-85;75;367821
-10;-20;75;421471
-10;-25;75;351632
-15;-10;70;216822
-15;-15;75;464450
-25;-95;70;140640
-15;-20;80;430679
-15;-35;75;427163
-15;-40;70;515420
-15;-35;70;574318
-10;-35;70;515420
-30;-105;55;280362
-25;-100;55;343363
-15;-80;80;545537
-15;-75;85;676473
-15;-30;100;998450
-25;-105;10;408433
-25;-105;15;619340
-25;-105;20;499025
-25;-105;25;352076
-20;-75;30;333776
-20;-80;25;425406
-25;-105;30;399766
-25;-105;35;425628
-25;-105;40;470062
-15;-30;50;371169
-15;-30;55;298750
-25;-105;45;526083
-15;-30;35;131237
-15;-30;40;154706
-15;-35;35;84575
-25;-105;50;291502
-15;-35;40;118862
-25;-105;55;350517
-15;-35;45;260616
-15;-45;65;270350
-25;-85;95;325162
-15;-50;90;560427
-15;-50;95;920932
-20;-30;20;116794
-20;-85;35;451290
-20;-80;40;284426
-20;-85;40;280474
-20;-40;45;216850
-15;-20;45;320065
-15;-40;55;302751
-15;-15;65;378804
-15;-15;40;325934
-20;-75;80;545537
-10;-20;85;404875
-15;-25;90;468285
-15;-40;50;207713
-15;-25;55;352549
-15;-15;70;525229
-15;-25;100;582033
-20;-30;25;248322
-15;-20;40;247052
-25;-75;105;1143292
-25;-75;100;561153
-20;-70;100;950363
-20;-20;95;257265
-20;-75;60;346035
-15;-40;95;894311
-15;-40;100;1241816
-10;-45;90;414274
-20;-40;40;64154
-20;-80;45;391200
-20;-70;50;518068
-15;-30;65;374097
-10;-25;65;390271
-10;-30;65;353031
-20;-60;75;185864
-20;-80;35;434878
-15;-25;50;426026
-10;-25;50;375169
-20;-70;55;341582
-15;-15;90;256266
-15;-15;85;199342
-15;-50;100;1413937
-20;-85;65;332407
-20;-80;70;377508
-15;-20;55;442315
-15;-10;65;305789
-20;-75;55;462415
-10;-20;80;331339
-15;-75;80;534186
-10;-75;80;542160
-10;-30;70;470250
-20;-85;45;276320
-20;-80;30;425244
-25;-90;85;162087
-20;-75;90;716489
-15;-20;35;244202
-15;-25;40;171834
-15;-65;70;310592
-15;-20;70;580894
-15;-35;80;319666
-10;-15;40;261840
-10;-15;45;258688
-10;-20;40;189284
-15;-25;65;379574
-20;-80;80;520145
-20;-85;80;445420
-20;-75;40;248277
-20;-75;45;475655
-20;-75;50;532990
-15;-40;45;174436
-10;-35;45;174436
-10;-80;75;381301
-5;-75;70;310592
-10;-75;75;368309
-5;-75;75;322013
-10;-20;35;104569
-15;-35;100;1336307
-5;-20;60;245785
-10;-25;60;335619
-5;-20;55;231951
-5;-25;55;272653
-20;-85;30;408496
-20;-85;50;474979
-20;-80;55;518917
-20;-85;55;553618
-20;-85;15;205939
-20;-80;20;264403
-20;-85;20;312510
-20;-80;50;536242
-20;-75;35;252751
-15;-15;80;215872
-10;-10;65;143523
-20;-70;95;806658
-20;-70;85;644704
-20;-75;85;630856
-10;-70;65;307837
-15;-25;60;330152
-10;-35;85;454085
-10;-35;90;621022
-10;-5;55;185606
-10;-15;80;192102
-15;-75;45;403398
-15;-75;50;590215
-20;-90;45;225197
-20;-90;40;333185
-20;-95;40;403256
-20;-90;50;382672
-20;-95;45;240698
-20;-90;55;507950
-20;-95;50;314191
-20;-85;25;379850
-20;-85;5;240590
-20;-90;60;391071
-20;-95;55;470158
-20;-90;65;248881
-20;-95;60;395493
-20;-90;70;298990
-20;-95;65;246423
-20;-90;75;357135
-25;-95;75;124862
-20;-95;70;209734
-10;-60;70;174846
-15;-65;75;322013
-10;-65;70;245385
-20;-80;60;363114
-20;-80;65;375658
-10;-30;45;216850
-10;-30;50;278291
-10;-5;45;336130
-10;-10;45;300029
-25;-90;80;227048
-20;-90;80;350813
-10;-30;90;598244
-10;-30;95;821038
-20;-85;60;392802
-20;-90;5;387760
-20;-80;15;143613
-10;-60;95;842798
-10;-60;90;488015
-10;-55;95;837070
-5;-55;90;101568
-10;-85;50;506072
-10;-80;55;341582
-15;-85;55;521458
-10;-85;55;464090
-20;-90;15;325096
-20;-90;10;204429
-20;-95;10;361527
-10;-30;80;280646
-20;-60;105;1827618
-10;-25;55;324296
-10;-20;60;340278
-20;-85;10;165720
-20;-90;35;452692
-20;-95;35;491038
-15;-75;40;203268
-15;-65;90;718900
-15;-70;90;805439
-10;-15;30;112313
-10;-20;30;85058
-25;-80;105;562760
-20;-65;105;1588504
-10;-15;35;102189
-10;-20;65;430673
-10;-20;70;536222
-20;-95;15;336944
-20;-100;10;318101
-20;-95;25;364158
-20;-95;20;379501
-20;-100;20;371799
-20;-95;30;428566
-20;-100;25;348871
-20;-100;30;385251
-20;-90;30;412028
-20;-90;25;348718
-20;-100;35;427614
-20;-100;40;460913
-20;-100;45;398624
-20;-100;50;297626
-25;-100;60;234358
-20;-100;55;436179
-25;-100;65;87053
-20;-100;60;298720
-10;-30;55;354670
-10;-30;85;450070
-10;-20;55;407846
-20;-70;105;1627870
-20;-90;20;399431
-10;-30;40;64154
-10;-10;40;244974
-10;-10;35;172213
-20;-75;105;1649232
-20;-80;100;850435
-20;-100;15;413861
-5;-55;100;1064392
-5;-55;105;951532
-10;-60;105;1655626
-5;-60;100;1062653
-10;-15;65;344288
-10;-35;100;1241816
-10;-35;95;894311
-5;-35;95;849157
-20;-85;95;559735
-20;-80;105;1630934
-10;-50;90;361957
-10;-50;95;788936
-5;-25;65;342532
-5;-20;70;421532
-10;-25;70;509871
-5;-25;70;367851
-15;-60;65;148918
-10;-20;105;684292
-10;-25;100;773433
-10;-20;100;307603
-5;-20;100;498056
-10;-30;75;324542
-10;-35;75;355908
-15;-70;95;915493
-5;-60;95;644851
-10;-60;100;1355854
-15;-90;50;458335
-15;-90;45;267740
-15;-95;45;268908
-20;-95;75;247459
-15;-85;75;426066
-15;-85;80;474507
-10;-25;35;64097
-10;-15;70;489199
-10;-15;75;338406
-20;-100;65;149078
-15;-85;65;350178
-15;-80;70;386100
-15;-85;70;411431
-20;-105;15;324969
-20;-105;20;342272
-15;-80;40;248277
-20;-105;25;245621
-15;-80;45;475655
-20;-105;30;288832
-15;-75;55;334782
-15;-80;50;532990
-20;-105;35;440881
-15;-80;55;462415
-20;-105;40;416393
-15;-75;65;386435
-15;-80;60;346035
-20;-105;45;510010
-15;-80;65;371618
-20;-105;50;347823
-15;-75;75;396048
-15;-65;55;106478
-20;-105;55;342540
-15;-80;75;409407
-15;-60;70;157651
-20;-85;100;404771
-15;-80;95;817340
-15;-80;100;983812
-15;-65;95;988649
-15;-65;100;1328165
-10;-40;85;346958
-10;-40;90;536938
-15;-30;80;364276
-10;-10;30;137067
-15;-20;100;304798
-10;-15;85;182502
-10;-40;80;161065
-5;-35;80;169138
-5;-40;80;101337
-10;-15;60;340864
-10;-55;85;314040
-10;-55;90;398669
-15;-30;105;1802452
-15;-25;105;886820
-5;-25;60;213810
-5;-20;65;357889
-10;-15;90;278423
-5;-30;95;892790
-10;-30;100;1208378
-5;-30;100;1198416
-5;-20;85;455082
-10;-10;70;111309
-15;-85;50;513348
-5;-40;90;414274
-5;-45;90;155638
-10;-35;65;388071
-10;-30;105;1649408
-10;-25;105;1378964
-5;-25;100;930802
-5;-15;85;195448
-5;-15;90;171164
-5;-15;70;275885
-10;-30;60;290675
-15;-20;105;533596
-15;-50;80;138393
-15;-75;35;100590
-15;-35;105;1858498
-15;-75;100;993346
-15;-75;95;835400
-15;-80;30;333776
-15;-80;35;252751
-15;-70;45;229354
-15;-70;50;235202
-15;-70;55;290109
-15;-40;105;1747536
-15;-85;25;261418
-15;-85;30;359444
-15;-65;60;159329
-15;-70;100;1139012
-15;-45;105;1722928
-15;-85;5;334821
-5;-25;85;434230
-10;-25;95;592048
-15;-90;55;514127
-15;-95;50;341337
-15;-90;60;371911
-15;-95;55;432789
-5;-15;55;111654
-5;-15;60;136122
-15;-90;65;309323
-15;-95;60;381043
-15;-90;70;384424
-15;-95;65;287377
-5;-30;90;626506
-5;-25;95;776274
-15;-90;75;433713
-15;-95;70;320625
-15;-90;80;346701
-20;-95;80;218413
-15;-95;75;266795
-10;-15;95;336371
-15;-50;105;1999507
-15;-85;40;265794
-15;-85;45;374930
-15;-85;35;307461
-5;-20;95;534152
-10;-35;50;207713
-10;-35;55;302751
-5;-20;75;265346
-20;-85;105;562760
-5;-15;80;196967
-15;-90;40;287806
-15;-95;40;344667
-10;-75;70;344767
-10;-35;80;249657
-10;-45;85;258684
-15;-85;60;371705
-10;-65;90;639046
-10;-65;95;917956
-15;-85;90;577947
-15;-80;25;260298
-15;-85;20;116764
-15;-90;15;200876
-10;-40;50;114801
-5;-15;65;239387
-20;-90;95;180946
-20;-90;90;222578
-15;-60;105;1848221
-15;-90;35;286968
-15;-95;35;332350
-5;-35;90;571913
-10;-40;65;150529
-10;-40;70;274613
-5;-20;50;171132
-10;-75;90;805439
-10;-80;90;770134
-10;-40;75;227832
-15;-80;105;1649232
-15;-85;100;561153
-15;-65;105;1859184
-5;-30;65;214103
-5;-35;65;270350
-15;-95;25;257011
-15;-95;20;298763
-15;-100;20;221346
-15;-95;30;395867
-15;-100;25;222631
-15;-100;30;293197
-15;-90;30;320676
-15;-90;25;296989
-15;-100;35;409975
-15;-100;40;368415
-15;-100;45;375205
-15;-100;50;395914
-15;-100;55;411426
-5;-5;45;153791
-15;-100;60;265250
-20;-100;70;112268
-15;-100;65;242926
-5;-70;95;917956
-5;-65;100;1209412
-10;-70;100;1334627
-5;-70;100;1405827
-10;-45;100;1127250
-15;-70;105;1667798
-15;-90;85;343110
-15;-90;20;209882
-10;-75;50;235202
-10;-75;55;290109
-10;-95;85;240262
-5;-90;80;344474
-10;-90;85;473901
-5;-90;85;446912
-10;-55;105;1652708
-10;-80;60;384942
-10;-85;60;344380
15;-20;80;344474
10;-25;80;368778
15;-20;75;230568
15;-25;75;261989
-15;-85;95;612747
-15;-75;105;1693982
-10;-60;85;504338
-5;-25;80;290520
-5;-30;80;202259
-10;-85;100;855837
-5;-80;95;902546
-10;-80;100;950363
-5;-80;100;1134610
-15;-95;15;228064
-10;-75;45;229354
-5;-30;70;167546
-10;-80;85;644704
-10;-75;60;379556
-10;-45;80;101337
-10;-50;100;1417514
-10;-80;95;806658
-15;-90;90;257260
-15;-90;95;201991
-15;-85;105;1143292
-10;-40;105;1611080
-10;-35;105;1747536
-5;-35;100;1152314
-5;-35;85;386962
-15;-95;80;257109
-20;-105;60;208574
-20;-105;65;185295
-15;-100;70;130560
-10;-90;75;404122
-10;-85;80;465970
-10;-90;80;447702
-10;-85;85;594007
-10;-85;65;334674
-10;-80;70;350161
-10;-85;70;404026
-15;-105;25;230088
-10;-80;45;326052
-15;-105;30;213015
-10;-80;50;518068
-15;-105;35;347651
-15;-105;40;403159
-10;-75;65;365481
-15;-105;45;514452
-10;-80;65;369359
-15;-105;50;391051
-15;-105;55;287060
-10;-65;60;118724
-15;-105;60;250818
-10;-65;65;192807
-15;-105;65;235424
-5;-20;90;460468
-10;-75;85;678783
-5;-30;85;419956
-5;-25;90;580958
0;-25;85;492211
-5;-30;105;1758882
0;-30;100;1293935
-5;-15;75;239194
0;-45;100;1068918
0;-45;105;966407
-5;-50;105;966407
0;-50;100;775168
-5;-25;75;171893
-5;-30;75;120980
-5;-20;45;124468
-5;-25;45;162256
-10;-70;55;217937
-10;-50;85;266829
-5;-40;95;675849
-5;-25;105;1531901
0;-25;100;1143378
-10;-65;100;1405827
-10;-70;90;765886
-10;-70;95;1007397
-10;-85;75;370271
-10;-80;80;506213
-10;-80;40;66549
-10;-60;75;197999
-5;-45;95;471827
-10;-70;75;311750
-10;-75;100;1139012
-10;-75;95;915493
-10;-60;80;373673
-5;-30;60;183415
5;-20;90;701182
5;-15;95;259958
0;-20;95;768947
5;-20;95;906350
-5;-20;80;333106
-5;-20;40;132598
-5;-25;50;177051
-5;-30;50;134052
0;-75;80;357463
5;-70;75;129355
0;-70;80;373673
5;-70;80;184572
-5;-50;100;1068918
-10;-70;85;702087
-5;-35;70;281898
-5;-35;75;166591
-10;-90;45;351032
-10;-90;40;160317
-10;-95;40;173193
-10;-90;50;481109
-10;-95;45;277705
-10;-90;55;451514
-10;-95;50;368018
-10;-90;60;371483
-10;-95;55;385831
-10;-70;80;541581
-10;-90;65;388391
-10;-95;60;388533
-10;-90;70;426699
-10;-95;65;360235
-10;-95;70;341480
-10;-95;75;323675
0;-30;85;463445
0;-25;90;706718
0;-30;90;739627
-5;-30;55;196741
-10;-85;40;131270
-10;-85;45;422214
0;-25;95;926118
0;-30;95;1028065
-5;-50;95;385351
-10;-85;105;1518749
-10;-80;105;1627870
-10;-45;105;1613261
0;-15;80;171799
0;-20;80;428771
-10;-85;35;128161
0;-20;85;554478
0;-25;80;340706
0;-90;85;536889
0;-85;85;568647
0;-85;90;745066
5;-85;85;592067
-10;-50;105;1627302
-10;-85;90;655302
-5;-65;90;455481
-5;-65;95;790839
-5;-40;85;258684
-5;-60;80;183706
0;-20;75;213455
0;-25;75;143136
-5;-40;100;1127250
-5;-45;100;1059913
-10;-90;35;192907
-10;-95;35;209942
-10;-85;30;149416
-10;-65;105;1742966
0;-20;100;711639
-10;-95;30;224245
-10;-100;30;124959
-10;-100;35;168157
-10;-100;40;169396
-10;-100;45;238354
-10;-100;50;210956
-10;-100;55;213988
-10;-100;60;148817
-10;-100;65;106882
-10;-70;105;1870024
-10;-90;30;191944
10;-40;90;488015
10;-35;95;974437
5;-40;95;837070
10;-40;95;842798
-5;-85;85;537534
-5;-85;90;690888
-10;-85;95;696473
0;-70;75;197999
-5;-75;80;471116
0;-75;75;207958
-10;-75;105;1667798
-5;-60;85;262282
-5;-65;85;454073
-5;-70;75;247700
-5;-80;55;180623
-5;-75;60;159329
-5;-80;60;213049
-5;-75;65;206155
-5;-80;65;201797
-5;-80;70;281547
-5;-70;70;245385
-5;-55;95;494638
-5;-70;90;639046
-5;-75;90;718900
-5;-80;90;755555
-5;-60;90;357328
-10;-90;90;383565
-10;-90;95;522886
0;-35;90;560427
-10;-95;25;132880
-10;-95;80;283569
0;-65;95;644851
0;-65;100;1062653
-15;-105;70;194937
-10;-100;70;142922
-5;-85;65;286233
-5;-85;70;312017
-10;-105;40;184081
-10;-105;45;160044
-5;-75;55;106478
-10;-105;50;343164
-5;-15;95;276468
-5;-70;65;192807
0;-70;70;174846
0;-80;85;565603
0;-75;90;622164
0;-80;90;717017
5;-20;85;604694
5;-25;85;592067
-5;-75;100;1328165
-5;-75;95;988649
0;-35;85;344536
0;-20;90;572618
-5;-85;75;261989
-5;-80;80;438827
-5;-85;80;396102
-5;-90;75;230568
5;-25;100;996514
5;-25;95;899887
5;-30;95;1037323
0;-20;70;165991
0;-15;75;136392
0;-25;70;203269
-5;-20;105;737721
-5;-80;75;337372
-5;-60;75;121288
-5;-80;85;586637
-5;-65;75;182056
-5;-65;80;375775
-5;-70;60;118724
-5;-70;85;663365
-5;-75;85;645283
0;-40;90;361957
-5;-35;105;1722928
-5;-60;70;122558
-5;-65;70;200204
-5;-40;105;1613261
0;-35;95;920932
5;-30;90;777049
-5;-45;105;1141062
-5;-70;80;478181
-5;-85;60;204553
-5;-85;55;214187
-5;-90;60;263669
-5;-90;55;173386
-5;-95;55;123302
-5;-90;65;280698
-5;-95;60;154219
-5;-90;70;305041
-5;-95;65;197017
-5;-95;70;180342
-5;-95;75;133509
0;-20;65;141288
0;-25;65;162234
-5;-85;100;879006
-10;-90;100;359335
-5;-85;95;812795
-5;-90;95;642250
0;-30;80;235609
0;-35;80;138393
-5;-85;50;211930
0;-75;95;974437
5;-30;100;1355503
0;-35;100;1413937
5;-35;95;988847
-5;-60;105;1085468
0;-70;85;504338
0;-70;90;488015
0;-65;90;357328
-5;-80;105;1588504
-5;-65;105;1472768
10;-65;100;1068918
5;-70;100;1428016
10;-65;95;385351
10;-70;95;788936
15;-20;70;305041
15;-15;75;133509
10;-20;75;138281
-5;-70;105;1742966
15;-35;90;718900
15;-35;95;988649
5;-35;90;534010
10;-35;100;1481044
15;-30;100;1134610
10;-35;105;1848221
15;-35;100;1328165
0;-75;70;157651
15;-65;100;1059913
10;-70;100;1417514
15;-65;95;471827
15;-70;95;675849
-10;-90;105;457523
-5;-75;105;1859184
-5;-85;105;1493093
-5;-90;100;529854
-5;-90;45;125595
-5;-90;50;178363
0;-80;70;147043
-5;-95;80;171176
0;-80;95;1014063
0;-80;100;1323910
